path,size,last_commit,category
Resources/Kimera Semantic Working Memory (SWM) – System Specification.md,40825,2025-06-12 20:45:09 -0700,docs
Resources/Kimera Semantic Working Memory (SWM) – System Specification.pdf,152375,2025-06-11 02:51:55 -0700,other
"Resources/Kimera SWM Architecture (Geoid, Entropy, and EchoForm).md",14874,2025-06-12 20:45:09 -0700,docs
"Resources/Kimera SWM Architecture (Geoid, Entropy, and EchoForm).pdf",54933,2025-06-11 02:51:55 -0700,other
Resources/Kimera SWM System Architecture.md,97259,2025-06-12 20:45:09 -0700,docs
Resources/Kimera SWM System Architecture.pdf,151652,2025-06-11 02:51:55 -0700,other
Resources/KIMERA SWM.md,25205,2025-06-11 02:51:55 -0700,docs
Resources/Kimera SWMSemantic Entropy Blindspots and Enhancements.md,0,2025-06-12 20:45:09 -0700,docs
Resources/Kimera SWM_ Semantic Entropy Blindspots and Enhancements.pdf,74236,2025-06-11 02:51:55 -0700,other
Resources/Kimera SWM_ Semantic Working Memory System – Technical White Paper.md,29653,2025-06-12 20:45:09 -0700,docs
Resources/Kimera SWM_ Semantic Working Memory System – Technical White Paper.pdf,196673,2025-06-11 02:51:55 -0700,other
Resources/Semantic Thermodynamic Entropy Pruning Key Insights.pdf,24746,2025-06-11 02:51:55 -0700,other
Resources/Semantic_Thermodynamic_Engineering_Specification.md,9767,2025-06-12 20:45:09 -0700,docs
Resources/Semantic_Thermodynamic_Engineering_Specification.pdf.pdf,267256,2025-06-11 02:51:55 -0700,other
Resources/Spherical Word Methodology (SWM) Theory.pdf,1135550,2025-06-11 02:51:55 -0700,other
Resources/Spherical Word Methodology (SWM)- Complete Documentation.md,18438,2025-06-12 20:45:09 -0700,docs
Resources/Spherical Word Methodology (SWM)- Complete Documentation.pdf,2297423,2025-06-11 02:51:55 -0700,other
Resources/The Complete KIMERA SWM Documentation Suite.md,523466,2025-06-11 02:51:55 -0700,docs
Resources/The Complete KIMERA SWM Documentation Suite.pdf,1423347,2025-06-11 02:51:55 -0700,other
Resources/Vault Engineering Specification for Kimera SWM.md,8195,2025-06-12 20:45:09 -0700,docs
Resources/Vault_20Engineering_20Specification_20for_20Kimera_20SWM.pdf.pdf,566833,2025-06-11 02:51:55 -0700,other
scripts/comprehensive_vault_inspection.py,15659,2025-06-12 20:45:09 -0700,code
scripts/detailed_vault_contents.py,8588,2025-06-12 20:45:09 -0700,code
scripts/final_vault_inspection.py,9922,2025-06-12 20:45:09 -0700,code
scripts/inventory_generator.py,2554,,code
scripts/reorganize_project.py,19740,2025-06-10 19:37:30 -0700,code
scripts/run_tests.sh,183,2025-06-09 21:26:09 +0100,other
scripts/vault_inspect.py,628,2025-06-10 19:37:30 -0700,code
tests/entropy_validation.py,13693,2025-06-12 20:45:09 -0700,code
tests/test_api.py,8058,2025-06-10 19:37:30 -0700,code
tests/test_contradiction_engine.py,2727,2025-06-12 20:45:09 -0700,code
tests/test_echoform_parser.py,412,2025-06-10 19:37:30 -0700,code
tests/test_engines.py,4030,2025-06-10 19:37:30 -0700,code
tests/test_vault_manager.py,3466,2025-06-10 19:37:30 -0700,code
__pycache__/comprehensive_stress_test.cpython-313-pytest-8.4.0.pyc,21192,,other
__pycache__/continue_stress_test.cpython-313-pytest-8.4.0.pyc,19136,,other
__pycache__/entropy_stress_test.cpython-313-pytest-8.4.0.pyc,28610,,other
__pycache__/financial_api_integration.cpython-313.pyc,26245,,other
__pycache__/financial_config.cpython-313.pyc,6553,,other
__pycache__/progressive_crash_test.cpython-313-pytest-8.4.0.pyc,15810,,other
__pycache__/robust_stress_test.cpython-313-pytest-8.4.0.pyc,22863,,other
__pycache__/test_kimera_demo.cpython-313-pytest-8.4.0.pyc,11057,,other
__pycache__/test_monitoring_system.cpython-313-pytest-8.4.0.pyc,15759,,other
tests/integration/test_insights_api.py,1054,2025-06-12 20:45:09 -0700,code
tests/integration/test_insight_generation_cycle.py,3499,2025-06-12 20:45:09 -0700,code
tests/integration/test_telemetry.py,375,2025-06-12 20:55:57 -0700,code
tests/stress/comprehensive_stress_test.py,4296,2025-06-12 20:45:09 -0700,code
tests/stress/test_system_stress.py,4092,2025-06-10 19:37:30 -0700,code
tests/unit/test_activation_manager.py,4040,2025-06-12 20:45:09 -0700,code
tests/unit/test_coherence_service.py,3832,2025-06-12 20:45:09 -0700,code
tests/unit/test_contradiction_engine.py,4322,2025-06-12 20:45:09 -0700,code
tests/unit/test_insight_feedback.py,3657,2025-06-12 20:45:09 -0700,code
tests/unit/test_meta_insight.py,3420,2025-06-12 20:45:09 -0700,code
tests/unit/test_self_tuning.py,3353,2025-06-12 20:52:42 -0700,code
tests/validation/test_data_integrity.py,7056,2025-06-12 20:45:09 -0700,code
tests/__pycache__/test_api.cpython-313-pytest-8.4.0.pyc,39351,,other
tests/__pycache__/test_api.cpython-313.pyc,12505,,other
tests/__pycache__/test_contradiction_engine.cpython-313-pytest-8.4.0.pyc,6309,,other
tests/__pycache__/test_contradiction_engine.cpython-313.pyc,3032,,other
tests/__pycache__/test_echoform_parser.cpython-313-pytest-8.4.0.pyc,2022,,other
tests/__pycache__/test_echoform_parser.cpython-313.pyc,815,,other
tests/__pycache__/test_engines.cpython-313-pytest-8.4.0.pyc,19303,,other
tests/__pycache__/test_engines.cpython-313.pyc,6515,,other
tests/__pycache__/test_vault_manager.cpython-313-pytest-8.4.0.pyc,12997,,other
tests/__pycache__/test_vault_manager.cpython-313.pyc,6680,,other
tests/validation/__pycache__/test_data_integrity.cpython-313.pyc,9455,,other
tests/unit/__pycache__/test_activation_manager.cpython-313.pyc,5151,,other
tests/unit/__pycache__/test_coherence_service.cpython-313.pyc,5193,,other
tests/unit/__pycache__/test_contradiction_engine.cpython-313.pyc,4059,,other
tests/unit/__pycache__/test_insight_feedback.cpython-313.pyc,5492,,other
tests/unit/__pycache__/test_meta_insight.cpython-313-pytest-8.4.0.pyc,5130,,other
tests/unit/__pycache__/test_meta_insight.cpython-313.pyc,5017,,other
tests/unit/__pycache__/test_self_tuning.cpython-313-pytest-8.4.0.pyc,6747,,other
tests/stress/__pycache__/test_system_stress.cpython-313-pytest-8.4.0.pyc,12644,,other
tests/integration/__pycache__/test_insight_generation_cycle.cpython-313.pyc,4178,,other
tests/integration/__pycache__/test_telemetry.cpython-313-pytest-8.4.0.pyc,2739,,other
static/images/.gitkeep,0,2025-06-08 19:22:39 +0100,other
static/images/acb0b027197442daa618bf947b2a3017.png,73,2025-06-12 20:45:09 -0700,static
kimera_swm_mvp/backend/__init__.py,2,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/docker/docker-compose.yml,817,2025-06-08 04:57:53 +0100,other
kimera_swm_mvp/docker/Dockerfile.backend,201,2025-06-08 04:57:53 +0100,other
kimera_swm_mvp/docker/Dockerfile.frontend,114,2025-06-08 04:57:53 +0100,other
kimera_swm_mvp/docs/.gitkeep,0,2025-06-08 04:57:53 +0100,other
kimera_swm_mvp/scripts/deploy_mvp.sh,570,2025-06-08 04:57:53 +0100,other
kimera_swm_mvp/frontend/src/components/KimeraInterface.tsx,3567,2025-06-08 04:57:53 +0100,other
kimera_swm_mvp/frontend/src/pages/.gitkeep,0,2025-06-08 04:57:53 +0100,other
kimera_swm_mvp/frontend/src/utils/.gitkeep,0,2025-06-08 04:57:53 +0100,other
kimera_swm_mvp/backend/api/main.py,5153,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/api/middleware.py,200,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/api/routes.py,94,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/api/__init__.py,2,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/core/echo.py,72,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/core/geoid.py,1614,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/core/scar.py,67,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/core/void.py,65,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/core/__init__.py,2,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/engines/contradiction_engine.py,5856,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/engines/kccl.py,124,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/engines/spde.py,86,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/engines/thermodynamics.py,2924,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/engines/__init__.py,2,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/linguistic/echoform.py,80,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/linguistic/ecoform.py,75,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/linguistic/geoid_interface.py,83,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/linguistic/__init__.py,2,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/tests/__init__.py,2,2025-06-10 19:37:30 -0700,code
kimera_swm_mvp/backend/utils/gpu_utils.py,632,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/utils/__init__.py,1,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/vault/optimization.py,3700,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/vault/scar_repository.py,8117,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/vault/schemas.py,587,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/vault/vault_manager.py,4721,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/vault/__init__.py,294,2025-06-12 20:45:09 -0700,code
kimera_swm_mvp/backend/__pycache__/__init__.cpython-313.pyc,149,,other
kimera_swm_mvp/backend/vault/__pycache__/optimization.cpython-313.pyc,4883,,other
kimera_swm_mvp/backend/vault/__pycache__/scar_repository.cpython-313.pyc,10597,,other
kimera_swm_mvp/backend/vault/__pycache__/schemas.cpython-313.pyc,1318,,other
kimera_swm_mvp/backend/vault/__pycache__/vault_manager.cpython-313.pyc,6553,,other
kimera_swm_mvp/backend/vault/__pycache__/__init__.cpython-313.pyc,429,,other
kimera_swm_mvp/backend/utils/__pycache__/gpu_utils.cpython-313.pyc,1088,,other
kimera_swm_mvp/backend/utils/__pycache__/__init__.cpython-313.pyc,155,,other
kimera_swm_mvp/backend/tests/__pycache__/test_vault.cpython-313-pytest-8.4.0.pyc,39702,,other
kimera_swm_mvp/backend/tests/__pycache__/__init__.cpython-313.pyc,155,,other
kimera_swm_mvp/backend/engines/__pycache__/contradiction_engine.cpython-313.pyc,7453,,other
kimera_swm_mvp/backend/engines/__pycache__/kccl.cpython-313.pyc,586,,other
kimera_swm_mvp/backend/engines/__pycache__/thermodynamics.cpython-313.pyc,4008,,other
kimera_swm_mvp/backend/engines/__pycache__/__init__.cpython-313.pyc,157,,other
kimera_swm_mvp/backend/core/__pycache__/geoid.cpython-313.pyc,2996,,other
kimera_swm_mvp/backend/core/__pycache__/__init__.cpython-313.pyc,154,,other
kimera_swm_mvp/backend/api/__pycache__/main.cpython-313.pyc,6705,,other
kimera_swm_mvp/backend/api/__pycache__/__init__.cpython-313.pyc,153,,other
docs/api/README.md,17144,2025-06-10 19:24:30 -0700,docs
docs/architecture/README.md,16008,2025-06-10 19:24:30 -0700,docs
docs/installation/README.md,20162,2025-06-10 19:24:30 -0700,docs
docs/performance/README.md,19849,2025-06-10 19:24:30 -0700,docs
docs/testing/README.md,16166,2025-06-10 19:24:30 -0700,docs
backend/api/main.py,23926,2025-06-12 20:55:57 -0700,code
backend/api/middleware.py,415,2025-06-10 19:37:30 -0700,code
backend/api/monitoring_routes.py,17634,2025-06-10 19:37:30 -0700,code
backend/api/__init__.py,2,2025-06-10 19:37:30 -0700,code
backend/core/cim_profiles.json,355,2025-06-08 20:34:35 +0100,data
backend/core/constants.py,49,2025-06-12 20:45:09 -0700,code
backend/core/embedding_utils.py,4051,2025-06-12 20:45:09 -0700,code
backend/core/geoid.py,1664,2025-06-12 20:45:09 -0700,code
backend/core/insight.py,1877,2025-06-12 20:45:09 -0700,code
backend/core/models.py,307,2025-06-10 19:37:30 -0700,code
backend/core/scar.py,515,2025-06-10 19:37:30 -0700,code
backend/core/__init__.py,2,2025-06-10 19:37:30 -0700,code
backend/engines/activation_manager.py,2633,2025-06-12 20:45:09 -0700,code
backend/engines/activation_synthesis.py,3377,2025-06-12 20:45:09 -0700,code
backend/engines/asm.py,2544,2025-06-10 19:37:30 -0700,code
backend/engines/background_jobs.py,2447,2025-06-10 19:37:30 -0700,code
backend/engines/clip_service.py,1996,2025-06-10 19:37:30 -0700,code
backend/engines/coherence.py,4886,2025-06-12 20:45:09 -0700,code
backend/engines/contradiction_engine.py,5272,2025-06-12 20:45:09 -0700,code
backend/engines/insight_entropy.py,1197,2025-06-12 20:45:09 -0700,code
backend/engines/insight_feedback.py,6415,2025-06-12 20:45:09 -0700,code
backend/engines/insight_lifecycle.py,2177,2025-06-12 20:45:09 -0700,code
backend/engines/kccl.py,3825,2025-06-12 20:28:36 -0700,code
backend/engines/meta_insight.py,3801,2025-06-12 20:45:09 -0700,code
backend/engines/output_generator.py,2668,2025-06-12 20:45:09 -0700,code
backend/engines/pruning.py,2657,2025-06-12 20:45:09 -0700,code
backend/engines/spde.py,863,2025-06-10 19:37:30 -0700,code
backend/engines/symbolic_processor.py,2567,2025-06-12 20:45:09 -0700,code
backend/engines/thermodynamics.py,876,2025-06-10 19:37:30 -0700,code
backend/engines/__init__.py,2,2025-06-10 19:37:30 -0700,code
backend/governance/erl.py,1120,2025-06-12 20:45:09 -0700,code
backend/governance/self_tuning.py,5410,2025-06-12 20:51:07 -0700,code
backend/linguistic/echoform.py,3859,2025-06-10 19:37:30 -0700,code
backend/linguistic/grammar.py,1341,2025-06-12 20:45:09 -0700,code
backend/linguistic/__init__.py,2,2025-06-10 19:37:30 -0700,code
backend/monitoring/benchmarking_suite.py,15223,2025-06-10 19:37:30 -0700,code
backend/monitoring/entropy_monitor.py,17585,2025-06-10 19:37:30 -0700,code
backend/monitoring/semantic_metrics.py,22380,2025-06-10 19:37:30 -0700,code
backend/monitoring/system_observer.py,26692,2025-06-10 19:37:30 -0700,code
backend/monitoring/telemetry.py,1978,2025-06-12 20:55:57 -0700,code
backend/monitoring/thermodynamic_analyzer.py,20219,2025-06-10 19:37:30 -0700,code
backend/monitoring/__init__.py,729,2025-06-10 19:37:30 -0700,code
backend/tools/lineage_tracer.py,1532,2025-06-12 20:34:30 -0700,code
backend/vault/crud.py,1799,2025-06-12 20:45:09 -0700,code
backend/vault/database.py,2902,2025-06-12 20:45:09 -0700,code
backend/vault/vault_manager.py,6485,2025-06-10 19:37:30 -0700,code
backend/vault/__init__.py,2,2025-06-10 19:37:30 -0700,code
backend/__pycache__/__init__.cpython-313.pyc,134,,other
backend/vault/__pycache__/database.cpython-313.pyc,3968,,other
backend/vault/__pycache__/vault_manager.cpython-313.pyc,8426,,other
backend/vault/__pycache__/__init__.cpython-313.pyc,140,,other
backend/monitoring/__pycache__/benchmarking_suite.cpython-313.pyc,16394,,other
backend/monitoring/__pycache__/entropy_monitor.cpython-313.pyc,19924,,other
backend/monitoring/__pycache__/semantic_metrics.cpython-313.pyc,23402,,other
backend/monitoring/__pycache__/system_observer.cpython-313.pyc,26483,,other
backend/monitoring/__pycache__/telemetry.cpython-313.pyc,2593,,other
backend/monitoring/__pycache__/thermodynamic_analyzer.cpython-313.pyc,21007,,other
backend/monitoring/__pycache__/__init__.cpython-313.pyc,826,,other
backend/linguistic/__pycache__/echoform.cpython-313.pyc,4978,,other
backend/linguistic/__pycache__/__init__.cpython-313.pyc,145,,other
backend/governance/__pycache__/erl.cpython-313.pyc,1443,,other
backend/governance/__pycache__/self_tuning.cpython-313.pyc,6050,,other
backend/engines/__pycache__/activation_manager.cpython-313.pyc,2944,,other
backend/engines/__pycache__/activation_synthesis.cpython-313.pyc,3990,,other
backend/engines/__pycache__/asm.cpython-313.pyc,3794,,other
backend/engines/__pycache__/background_jobs.cpython-313.pyc,4532,,other
backend/engines/__pycache__/clip_service.cpython-313.pyc,3620,,other
backend/engines/__pycache__/coherence.cpython-313.pyc,5376,,other
backend/engines/__pycache__/contradiction_engine.cpython-313.pyc,6788,,other
backend/engines/__pycache__/insight_feedback.cpython-313.pyc,7688,,other
backend/engines/__pycache__/insight_lifecycle.cpython-313.pyc,2176,,other
backend/engines/__pycache__/kccl.cpython-313.pyc,4669,,other
backend/engines/__pycache__/meta_insight.cpython-313.pyc,5138,,other
backend/engines/__pycache__/output_generator.cpython-313.pyc,2881,,other
backend/engines/__pycache__/spde.cpython-313.pyc,1558,,other
backend/engines/__pycache__/thermodynamics.cpython-313.pyc,1443,,other
backend/engines/__pycache__/__init__.cpython-313.pyc,142,,other
backend/core/__pycache__/constants.cpython-313.pyc,196,,other
backend/core/__pycache__/embedding_utils.cpython-313.pyc,5612,,other
backend/core/__pycache__/geoid.cpython-313.pyc,2427,,other
backend/core/__pycache__/insight.cpython-313.pyc,2478,,other
backend/core/__pycache__/models.cpython-313.pyc,795,,other
backend/core/__pycache__/scar.cpython-313.pyc,1044,,other
backend/core/__pycache__/__init__.cpython-313.pyc,139,,other
backend/api/__pycache__/main.cpython-313.pyc,32782,,other
backend/api/__pycache__/middleware.cpython-313.pyc,931,,other
backend/api/__pycache__/monitoring_routes.cpython-313.pyc,23301,,other
backend/api/__pycache__/__init__.cpython-313.pyc,138,,other
.venv/Scripts/activate,2166,,other
.venv/Scripts/activate.bat,1001,,other
.venv/Scripts/activate.fish,2260,,other
.venv/Scripts/Activate.ps1,27969,,other
.venv/Scripts/deactivate.bat,393,,other
.venv/Scripts/f2py.exe,108394,,other
.venv/Scripts/fastapi.exe,108388,,other
.venv/Scripts/httpx.exe,108382,,other
.venv/Scripts/huggingface-cli.exe,108417,,other
.venv/Scripts/isympy.exe,108383,,other
.venv/Scripts/normalizer.exe,108404,,other
.venv/Scripts/numpy-config.exe,108394,,other
.venv/Scripts/pip.exe,108399,,other
.venv/Scripts/pip3.13.exe,108399,,other
.venv/Scripts/pip3.exe,108399,,other
.venv/Scripts/python.exe,254696,,other
.venv/Scripts/pythonw.exe,250360,,other
.venv/Scripts/tiny-agents.exe,108409,,other
.venv/Scripts/torchfrtrace.exe,108407,,other
.venv/Scripts/torchrun.exe,108398,,other
.venv/Scripts/tqdm.exe,108385,,other
.venv/Scripts/transformers-cli.exe,108423,,other
.venv/Scripts/transformers.exe,108415,,other
.venv/Scripts/uvicorn.exe,108389,,other
.venv/share/man/man1/isympy.1,6659,,other
.venv/Lib/site-packages/distutils-precedence.pth,151,,other
.venv/Lib/site-packages/isympy.py,11220,,code
.venv/Lib/site-packages/scipy-1.15.3-cp313-cp313-win_amd64.whl,0,,other
.venv/Lib/site-packages/threadpoolctl.py,50722,,code
.venv/Lib/site-packages/typing_extensions.py,157143,,code
